target,language,model,line_coverage,function_coverage,programs,valid,lines_of_code
targets/gcc-13/bin/g++,c,codegemma:2b,156077,17934,325,8,36369
targets/gcc-13/bin/g++,c,codegemma:2b,161622,18410,517,26,70111
targets/gcc-13/bin/gcc,c,codegemma:2b,97472,12869,322,17,34637
targets/gcc-13/bin/gcc,c,codegemma:2b,96445,12937,366,14,40489
targets/gcc-13/bin/g++,c,starcoder2:7b,166963,19046,3450,2408,33918
targets/gcc-13/bin/g++,c,starcoder2:7b,166506,18996,3527,2436,30767
targets/gcc-13/bin/gcc,c,starcoder2:7b,111180,14169,2496,1994,28315
targets/gcc-13/bin/gcc,c,starcoder2:7b,110414,14084,2831,2253,31371
targets/gcc-13/bin/g++,c,starcoder2:3b,162792,18505,3397,2247,35640
targets/gcc-13/bin/g++,c,starcoder2:3b,166037,18820,3091,2101,36852
targets/gcc-13/bin/gcc,c,starcoder2:3b,105822,13759,1897,1090,71622
targets/gcc-13/bin/gcc,c,starcoder2:3b,103453,13576,1174,680,41436
targets/gcc-13/bin/g++,c,codegemma:7b,156273,18226,769,311,10730
targets/gcc-13/bin/g++,c,codegemma:7b,155896,18207,771,318,10796
targets/gcc-13/bin/gcc,c,codegemma:7b,103276,13688,334,163,11359
targets/gcc-13/bin/gcc,c,codegemma:7b,100087,13285,264,132,8949
targets/gcc-13/bin/g++,c,starcoder:3b,169048,19202,2266,1435,52807
targets/gcc-13/bin/g++,c,starcoder:3b,167678,19042,2270,1484,52962
targets/gcc-13/bin/gcc,c,starcoder:3b,112390,14285,2272,1702,48315
targets/gcc-13/bin/gcc,c,starcoder:3b,112825,14301,1955,1471,45319
targets/gcc-13/bin/g++,c,qwen3.5:2b,108768,12168,65,0,1450
targets/gcc-13/bin/g++,c,qwen3.5:2b,109168,12199,75,0,1710
targets/gcc-13/bin/gcc,c,qwen3.5:2b,100693,13114,173,15,14908
targets/gcc-13/bin/gcc,c,qwen3.5:2b,98658,12885,185,8,16773
targets/gcc-13/bin/g++,c,qwen3.5:4b,109371,12206,34,0,765
targets/gcc-13/bin/g++,c,qwen3.5:4b,133625,15611,31,1,570
targets/gcc-13/bin/gcc,c,qwen3.5:4b,92589,12429,49,3,2605
targets/gcc-13/bin/gcc,c,qwen3.5:4b,93775,12602,38,3,2045
